"Raison Sociale",SIREN,Année,Note,Structure,"Nom UES","Entreprises UES (SIREN)",Région,Département
LOXAM,450776968,2019,88/100,"Unité Economique et Sociale (UES)",LOXAM,"LOXAM POWER (366500585), LOXAM MODULE (433911948)",Ile-de-France,Paris
"LYRECO FRANCE",571722669,2019,73/100,Entreprise,"","",Hauts-de-France,Nord
"MAGASINS GALERIES LAFAYETTE",957503931,2019,88/100,Entreprise,"","",Ile-de-France,Paris
MAIF,775709702,2019,99/100,Entreprise,"","",Nouvelle-Aquitaine,Deux-Sèvres
"MAIN SECURITE",328931613,2019,79/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"Mairie de Garges-lès-Gonesse",219502689,2019,42/65,Entreprise,"","",Ile-de-France,"Val-d'oise"
"MAISONS DU MONDE FRANCE SAS",383196656,2019,83/100,Entreprise,"","","Pays de la Loire",Loire-Atlantique
"MAJ SA",775733835,2019,89/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"MANITOU BF",857802508,2019,87/100,Entreprise,"","","Pays de la Loire",Loire-Atlantique
"Manpower France",429955297,2019,98/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Manufacture Francaise Pneumatiques Michelin",855200507,2019,93/100,Entreprise,"","",Auvergne-Rhône-Alpes,Puy-de-Dôme
"TOTAL MARKETING SERVICES",542034921,2019,87/100,"Unité Economique et Sociale (UES)","MARKETING & SERVICES","TOTAL FLUIDES (342241908), TOTAL MARKETING FRANCE (531680445), TOTAL ADDITIFS ET CARBURANTS SPECIAUX (956501100), TOTAL LUBRIFIANTS (552006454)",Ile-de-France,Hauts-de-Seine
"MARS WRIGLEY CONFECTIONERY",494887854,2019,92/100,Entreprise,"","","Grand Est",Bas-Rhin
"MATMUT SAM",775701477,2019,88/100,"Unité Economique et Sociale (UES)",MATMUT,"MATMUT PROTECTION JURIDIQUE (423499391), MATMUT VIE (344898358), MATMUT MUTUALITE (775701485), MATMUT LOCATION (500425624), MATMUT IMMOBILIER (499203255), MATMUT DEVELOPPEMENT (434044012), MATMUT & CO (487597510), INTER MUTUELLE ENTREPRISES (493147011), OCIANE (434243085), SGAM MATMUT (513866723)",Normandie,Seine-Maritime
"MAUBEUGE CONSTRUCTION AUTOMOBILE",702023433,2019,76/100,Entreprise,"","",Hauts-de-France,Nord
"MAZARS SA",784824153,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"MBDA France",378168470,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
MCI,632017257,2019,84/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
MCRA,532822475,2019,89/100,"Unité Economique et Sociale (UES)",MCRA,"CENTRAPEL (434130860), CERTICALL (538329913), EQUALINE (538330358), QUALIPEL (533513958)",Ile-de-France,Paris
"MEDIAPOST SAS",331648014,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"MERIAL SAS",590800215,2019,83/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"METRO FRANCE",399315613,2019,93/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Meubles IKEA France",351745724,2019,95/100,Entreprise,"","",Ile-de-France,Yvelines
MI-GSO,422883769,2019,78/100,Entreprise,"","",Occitanie,Haute-Garonne
"MICROMANIA SAS",418096392,2019,62/85,"Unité Economique et Sociale (UES)",MICROMANIA,"MICROMANIA GROUP (480705946)","Provence-Alpes-Côte d'Azur",Alpes-Maritimes
"Microsoft France",327733184,2019,93/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"MILLIPORE S.A.S.",434691192,2019,86/100,Entreprise,"","","Grand Est",Bas-Rhin
"MIX BUFFET",415183896,2019,94/100,"Unité Economique et Sociale (UES)","MIX BUFFET","GC LOGISTIC (440540656), PLH TRAITEUR (843833914)",Bretagne,Morbihan
MODIS,353150261,2019,89/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"MOTEURS LEROY SOMER",338567258,2019,87/100,Entreprise,"","",Nouvelle-Aquitaine,Charente
"MSD France",417890589,2019,99/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"MSPB Bagatelle",782021307,2019,88/100,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"MUTUALITE FRANCAISE LOIRE HAUTE LOIRE SSAM",775602436,2019,63/80,Entreprise,"","",Auvergne-Rhône-Alpes,Loire
"Natixis SA",542044524,2019,84/100,Entreprise,"","",Ile-de-France,Paris
"NATURALIA FRANCE",302474648,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Naval Group",441133808,2019,88/100,"Unité Economique et Sociale (UES)","Naval Group","Sirehna (337660342)",Ile-de-France,Paris
"Nespresso France SAS",382597821,2019,98/100,Entreprise,"","",Ile-de-France,Paris
"NESTLE FRANCE SAS",542014428,2019,83/100,Entreprise,"","",Ile-de-France,Seine-et-Marne
"NEWREST RESTAURATION",351442082,2019,78/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"NEWREST WAGONS LITS TGV FRANCE",789485869,2019,95/100,"Unité Economique et Sociale (UES)","NEWREST WAGONS LITS FRANCE","NEWREST WAGONS LITS INTERCITES (789485869), NEWREST WAGONS LITS INTERNATIONAL (789485869)",Ile-de-France,Paris
"NICOLL SAS",60200128,2019,78/100,Entreprise,"","","Pays de la Loire",Maine-et-Loire
"NICOLLIN SAS",775644149,2019,86/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"Nike Retail BV",405395518,2019,88/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
NOVANDIE,314603051,2019,93/100,Entreprise,"","","Centre-Val de Loire",Eure-et-Loir
"NOVARES FRANCE CLAMART",442694436,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
NOVASOL,997556303,2019,100/100,Entreprise,"","",Ile-de-France,Essonne
"NOVO NORDISK PRODUCTION",451375638,2019,97/100,Entreprise,"","","Centre-Val de Loire",Eure-et-Loir
"O-I France SAS",339030702,2019,94/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"OCP REPARTITION",388698201,2019,89/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"OFFICE DEPOT FRANCE SAS",402254437,2019,88/100,Entreprise,"","",Hauts-de-France,Oise
"OHS DE LORRAINE",775615313,2019,74/80,Entreprise,"","","Grand Est",Meurthe-et-Moselle
"OKAIDI SAS",398110445,2019,52/65,Entreprise,"","",Hauts-de-France,Nord
ONEPI,732025242,2019,0/25,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
ONERA,775722879,2019,89/100,Entreprise,"","",Ile-de-France,Essonne
"ONET SERVICES",67800425,2019,84/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"ONET TECHNOLOGIES TI",388035107,2019,89/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"ONEY BANK",546380197,2019,92/100,Entreprise,"","",Hauts-de-France,Nord
"OPEN SAS",381031285,2019,94/100,"Unité Economique et Sociale (UES)",OPEN,"SMART FI (493400204), LA NETSCOUADE (499387405), LATEOS (531451250), KYNAPSE (844443200)",Ile-de-France,Hauts-de-Seine
"Opéra national de Paris",784396079,2019,94/100,Entreprise,"","",Ile-de-France,Paris
"ORANGE BUSINESS SERVICES SA",345039416,2019,79/100,"Unité Economique et Sociale (UES)","ORANGE BUSINESS SERVICES","ORANGE CYBERDEFENSE (512664194)",Ile-de-France,Seine-Saint-Denis
"Orano Cycle",305207169,2019,84/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Orano DS",672008489,2019,84/100,Entreprise,"","",Ile-de-France,Essonne
"Orano Projets",817439524,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
ORSAC,775544562,2019,83/100,Entreprise,"","",Auvergne-Rhône-Alpes,Ain
"Otis SCS",542107800,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
Ouest-France,377714654,2019,86/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
PACIFICA,352358865,2019,89/100,"Unité Economique et Sociale (UES)",PACIFICA-SIRCA,"SIRCA (388156499)",Ile-de-France,Paris
"PARFUMS CHRISTIAN DIOR",552065187,2019,97/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"PARI MUTUEL URBAIN",775671258,2019,98/100,Entreprise,"","",Ile-de-France,Paris
"PARIS AIR CATERING",380885129,2019,95/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
"PARIS HABITAT",344810825,2019,99/100,Entreprise,"","",Ile-de-France,Paris
"Parker Hannfin Manufacturing France SAS",523394724,2019,90/100,"Unité Economique et Sociale (UES)","Parker Hannifin France","Parker Hannfin France SAS (448863688)",Auvergne-Rhône-Alpes,Haute-Savoie
"Paulstra Châteaudun",314397670,2019,89/100,"Unité Economique et Sociale (UES)","PAULSTRA SNC","Paulstra Levallois (314397670), Paulstra Lisses (314397670), Paulstra Etrépagny (314397670), Paulstra Segré (314397670), Paulstra Vierzon (314397670)",Ile-de-France,Paris
"PAVILLON DE LA MUTUALITE",775584972,2019,93/100,"Unité Economique et Sociale (UES)","PAVILLON DE LA MUTUALITE","CLINIQUE PESSAC (775584972), CLINIQUE MEDOC (775584972), CENTRE AUDITION GALLIENI (775584972), CENTRE AUDITION LA TESTE (775584972), CENTRE AUDITION MERIGNAC (775584972), CENTRE AUDITION MEDOC (775584972), CENTRE AUDITION GRADIGNAN (775584972), CENTRE DENTAIRE GALLIENI (775584972), CENTRE DENTAIRE BLAYE (775584972), CENTRE DENTAIRE PESSAC (775584972), PHARMACIE ACHARD (775584972), PHARMACIE GALLIENI (775584972), RONDE ENFANTINE COORDINATION (775584972), RONDE ENFANTINE TAILLAN (775584972), RONDE ENFANTINE LIBOURNE (775584972), MSS DIRECTION (775584972), MSS BASSIN (775584972), MSS ENTRE 2 MERS (775584972), MSS GRAVES (775584972), MSS MEDOC (775584972), MAISON DE RETRAITE PESSAC (775584972), OPTIQUE GALLIENI (775584972), OPTIQUE BIGANOS (775584972), OPTIQUE ACHARD (775584972), OPTIQUE MEDOC (775584972), OPTIQUE CENON (775584972), OPTIQUE MERIGNAC (775584972), OPTIQUE ST MEDARD EN JALLES (775584972), OPTIQUE GRADIGNAN (775584972), OPTIQUE LA TESTE (775584972), OPTIQUE LA SAUVE (775584972), OPTIQUE BLANQUEFORT (775584972), OPTIQUE LIBOURNE (775584972), OPTIQUE PORTAL (775584972), OPTIQUE PESSAC (775584972), OPTIQUE TALENCE (775584972), OPTIQUE LANGON (775584972), OPTIQUE BLAYE (775584972), CENTRE DE SANTE GALLIENI (775584972), MAISON DES JEUNES DE LA SANTE (775584972), GIE PAVILLON RADIOLOGIE (481615367), GIE des Ets Santé Privés non lucratifs Girondins (845036466)",Nouvelle-Aquitaine,Gironde
"PENELOPE L'AGENCE",824539183,2019,79/100,Entreprise,"","",Ile-de-France,Paris
"PHARMADOM ORKYN'",324501006,2019,83/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"PIERRE & VACANCES RESIDENCES & RESORTS FRANCE",508321155,2019,78/85,Entreprise,"","",Ile-de-France,Paris
"GROUPE PIZZORNO ENVIRONNEMENT",429574395,2019,84/100,"Unité Economique et Sociale (UES)","PIZZORNO Environnement","DRAGUI-TRANSPORTS (722850070), VALEOR (802557942), VALTEO (802556241), AZUR VALORISATION (802579755), PEEA (323592295), PROPOLYS (525089371)","Provence-Alpes-Côte d'Azur",Var
"Pochet du Courval",16980062,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"POINT P SAS REGION ILE DE FRANCE",695680108,2019,79/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"PONTICELLI FRERES",562036624,2019,78/100,Entreprise,"","",Ile-de-France,Paris
"PREVOIR VIE",343286183,2019,88/100,Entreprise,"","",Ile-de-France,Paris
"PREZIOSO LINJEBYGG",573680162,2019,91/100,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
"PRICEWATERHOUSECOOPERS ADVISORY",338112733,2019,74/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"PRICEWATERHOUSECOOPERS AUDIT",672006483,2019,79/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
PRIMA,408127553,2019,84/100,Entreprise,"","","Pays de la Loire",Vendée
"PRIMARK FRANCE SA",790858294,2019,99/100,Entreprise,"","",Ile-de-France,Val-de-Marne
Printemps,503314767,2019,93/100,Entreprise,"","",Ile-de-France,Paris
"PRO BTP",394164966,2019,92/100,Entreprise,"","",Ile-de-France,Paris
"PROCTER & GAMBLE AMIENS SAS",391548955,2019,89/100,Entreprise,"","",Hauts-de-France,Somme
"PROSEGUR SECURITE HUMAINE",338246317,2019,70/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"PRYSMIAN CABLES SYSTEMS France SAS",95750311,2019,88/100,Entreprise,"","",Bourgogne-Franche-Comté,Yonne
"PSA AUTOMOBILES SA",542065479,2019,94/100,Entreprise,"","",Ile-de-France,Yvelines
"PSA RETAIL FRANCE SAS",302475041,2019,84/100,Entreprise,"","",Ile-de-France,Yvelines
"PUM PLASTIQUES",320441108,2019,78/100,Entreprise,"","","Grand Est",Marne
"RADIALL SA",552124984,2019,84/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"Total Raffinage Chimie",692004807,2019,94/100,"Unité Economique et Sociale (UES)",Raffinage-Pétrochimie,"Total Raffinage France (529221749), Total Petrochemicals France (428891113)",Ile-de-France,Hauts-de-Seine
"RAZEL BEC SAS",562136036,2019,79/100,Entreprise,"","",Ile-de-France,Essonne
REEL,962501318,2019,86/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"Renault sas",780129987,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Renault Trucks SAS",954506077,2019,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"RESIDE ETUDES",350902102,2019,73/100,"Unité Economique et Sociale (UES)","RESIDE ETUDES","RESIDE ETUDES GESTION (484823976), LINCOLM FRANCOIS PREMIER (397860826), L'YSER (382403632), RELAIS SPA SAS (485376313), RELAIS SPA ROISSY (529780389)",Ile-de-France,Paris
"REXEL FRANCE",309304616,2019,89/100,Entreprise,"","",Ile-de-France,Paris
"RICHARDSON SAS",54800958,2019,78/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"RICOH FRANCE SAS",337621841,2019,83/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"Robert Bosch (France) SAS",572067684,2019,89/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"ROBERT HALF INTERNATIONAL FRANCE",388358905,2019,60/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ROQUETTE FRERES",357200054,2019,77/100,Entreprise,"","",Hauts-de-France,Pas-de-Calais
"Royal Canin SAS",700200983,2019,94/100,"Unité Economique et Sociale (UES)","Royal Canin","Royal Canin France SAS (380824888)",Occitanie,Gard
"Réseau Clubs Bouygues Telecom",423032598,2019,93/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Réseau Transport Electricité",444619258,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"S3M Sécurité",490225737,2019,64/80,Entreprise,"","",Ile-de-France,Essonne
"SA NTN SNR ROULEMENTS",325821072,2019,79/100,Entreprise,"","",Auvergne-Rhône-Alpes,Haute-Savoie
Sacem,775675739,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
SAEME,797080850,2019,99/100,Entreprise,"","",Auvergne-Rhône-Alpes,Haute-Savoie
"Safran Aircraft Engines",414815217,2019,90/100,Entreprise,"","",Ile-de-France,Essonne
"SAFRAN ELECTRONICS & DEFENSE COCKPIT SOLUTIONS",775694995,2019,64/100,Entreprise,"","",Ile-de-France,Paris
"SAFRAN HELICOPTER ENGINES",338481955,2019,89/100,Entreprise,"","",Nouvelle-Aquitaine,Pyrénées-Atlantiques
"SAFRAN LANDING SYSTEMS",712019538,2019,89/100,Entreprise,"","",Ile-de-France,Yvelines
"SAFRAN NACELLES",352050512,2019,90/100,Entreprise,"","",Normandie,Seine-Maritime
"SAFRAN NACELLES",352050512,2019,90/100,Entreprise,"","",Normandie,Seine-Maritime
"SAFRAN SA",562082909,2019,87/100,Entreprise,"","",Ile-de-France,Paris
"Saft SAS",383703873,2019,78/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SAGE SAS",313966129,2019,90/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SAIPEM SA",302588462,2019,85/100,Entreprise,"","",Ile-de-France,Yvelines
SAMADA,552011983,2019,94/100,Entreprise,"","",Ile-de-France,Essonne
"SANOFI CHIMIE",428706204,2019,75/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"Sanofi Winthrop Industrie",775662257,2019,89/100,Entreprise,"","",Ile-de-France,Val-de-Marne
SANTE&BIEN-ETRE,326578333,2019,63/85,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"SARETEC FRANCE",310327895,2019,79/100,"Unité Economique et Sociale (UES)",SARETEC,"SARETEC DEVELOPPEMENT (352603575)",Ile-de-France,Val-de-Marne
SARL,506950211,2019,85/100,Entreprise,"","",Bourgogne-Franche-Comté,Yonne
SARL,398979310,2019,98/100,Entreprise,"","",Ile-de-France,Paris
"SARL DOMIDOM SERVICES",442396032,2019,74/100,Entreprise,"","",Ile-de-France,Paris
SAS,339447534,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
SAS,394026934,2019,93/100,Entreprise,"","","Pays de la Loire",Loire-Atlantique
"SAS 3 BRASSEURS FRANCE",509530770,2019,70/100,Entreprise,"","",Hauts-de-France,Nord
"SAS BDMS DISTRIBUTION",421255134,2019,84/100,Entreprise,"","",Bourgogne-Franche-Comté,Yonne
"SAS CHAINE THERMALE DU SOLEIL",310968540,2019,94/100,Entreprise,"","",Ile-de-France,Paris
"SAS CLINEA",301160750,2019,79/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SAS FITECO",557150067,2019,87/100,Entreprise,"","","Pays de la Loire",Mayenne
"SAS FRANS BONHOMME",383706397,2019,83/100,Entreprise,"","","Centre-Val de Loire",Indre-et-Loire
"SAS LNA ES",484434113,2019,94/100,Entreprise,"","","Pays de la Loire",Loire-Atlantique
"SAS MAZAGRAN DISTRIBUTION",416220010,2019,94/100,Entreprise,"","",Bourgogne-Franche-Comté,Yonne
"SAS RATIER FIGEAC",309954006,2019,89/100,Entreprise,"","",Occitanie,Lot
"SAS RELAIS FNAC",334473352,2019,94/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"SAS STOCK J BOUTIQUE JENNYFER",338880180,2019,97/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
SATELEC,971201546,2019,79/100,Entreprise,"","",Ile-de-France,Essonne
SAVERGLASS,525721189,2019,75/100,Entreprise,"","",Hauts-de-France,Oise
"Financière Eurogiciel",808890164,2019,88/100,"Unité Economique et Sociale (UES)",Scalian,"Scalian DS (487574394), Evosys (437603012), Scalian DPC (494487382), Scalian OP (442812574), Scalian SAS (350992707), Alyotech SAS (483883534)",Occitanie,Haute-Garonne
"SCHAEFFLER FRANCE",568504161,2019,86/100,Entreprise,"","","Grand Est",Bas-Rhin
"Schmidt Groupe SAS",326784709,2019,94/100,Entreprise,"","","Grand Est",Haut-Rhin
"SECURITAS FRANCE SARL",304497852,2019,69/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SECURTIAS TRANSPORT AVIATION SECURITY",308973239,2019,64/85,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
SEI,954503439,2019,94/100,"Unité Economique et Sociale (UES)",SEI-SEF,"SEF (421106709)",Ile-de-France,Hauts-de-Seine
"SELAS FIDAL",525031522,2019,91/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
SELECTA,552014201,2019,74/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
SEMITAG,301503231,2019,84/100,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
"Sephora SAS",393712286,2019,96/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
SEPUR,350050589,2019,94/100,Entreprise,"","",Ile-de-France,Yvelines
"SERIS AIRPORT SERVICES",483479168,2019,68/85,Entreprise,"","",Ile-de-France,Paris
"SEW USOCOME",421863259,2019,77/100,Entreprise,"","","Grand Est",Bas-Rhin
"SFR DISTRIBUTION",410358865,2019,87/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Siemens SAS",562016774,2019,91/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"Etex France Building Performance",562620773,2019,81/100,"Unité Economique et Sociale (UES)",SINIAT,"EBPI (535050686)","Provence-Alpes-Côte d'Azur",Vaucluse
"SITEL France",389652553,2019,84/100,Entreprise,"","",Ile-de-France,Paris
"SKF FRANCE",552048837,2019,84/100,Entreprise,"","",Ile-de-France,Yvelines
"SMRC AUTOMOTIVE MODULES FRANCE SAS",410314876,2019,93/100,Entreprise,"","",Hauts-de-France,Pas-de-Calais
"SMURFIT KAPPA FRANCE",493254908,2019,94/100,Entreprise,"","",Ile-de-France,Val-de-Marne
SNC,392527404,2019,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
SNC,349942458,2019,88/100,Entreprise,"","",Bourgogne-Franche-Comté,"Territoire de Belfort"
SNEF,56800659,2019,86/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
SNV,404432775,2019,89/100,Entreprise,"","",Normandie,Orne
"SOCIETE AIR FRANCE",420495178,2019,94/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
"SOCIETE D'INVESTISSEMENT MULTIMARQUE SIM",402069710,2019,88/100,Entreprise,"","",Ile-de-France,Essonne
"SOCIETE DES ATELIERS LOUIS VUITTON",722063997,2019,89/100,Entreprise,"","",Ile-de-France,Paris
"SOCIETE DES NOUVEAUX HYPERMARCHES - SDNH",487596165,2019,89/100,Entreprise,"","",Ile-de-France,Essonne
"SOCIETE DISTRIBUTION AEROPORTUAIRE",448457978,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SOCIETE GENERALE",552120222,2019,86/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SOCIETE LOUIS VUITTON SERVICES",347662454,2019,97/100,Entreprise,"","",Ile-de-France,Paris
"SOCIETE SVA JEAN ROZE",775591563,2019,78/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"SOCIETE TECHNIQUE POUR L'ENERGIE ATOMIQUE",722045879,2019,89/100,Entreprise,"","",Ile-de-France,Essonne
"Société ACOME",562123513,2019,83/100,Entreprise,"","",Ile-de-France,Paris
"Société anonyme",509553459,2019,82/100,Entreprise,"","","Grand Est",Marne
"société coopérative à capital variable",414993998,2019,89/100,Entreprise,"","","Pays de la Loire",Sarthe
"Société des Magasins Louis Vuitton France",331888990,2019,99/100,Entreprise,"","",Ile-de-France,Paris
"Société méditerranéenne de nettoiement",326180544,2019,0/10,Entreprise,"","",Occitanie,Hérault
"SOCOMEC SAS",548500149,2019,87/100,Entreprise,"","","Grand Est",Bas-Rhin
"SOCOPA VIANDES",508513785,2019,89/100,Entreprise,"","",Bretagne,Finistère
"SOCOTEC Construction",834157513,2019,88/100,Entreprise,"","",Ile-de-France,Yvelines
"SOCOTEC Equipements",834096695,2019,65/100,Entreprise,"","",Ile-de-France,Yvelines
"SAS SODEBO",547350249,2019,89/100,"Unité Economique et Sociale (UES)",SODEBO,"SAS INBO (349198952), SAS KIMARMOR (333362531), SAS GOODWICH (437911183), SAS PSV (313414062), SAS SOFRESH (750711491), SAS SOBOX (512482928)","Pays de la Loire",Vendée
SODIFRANCE,383139102,2019,86/100,"Unité Economique et Sociale (UES)",SODIFRANCE,"SODIFRANCE-ISIS (420458382), SOFT-MAINT (384124582), MIA-SOFTWARE (479228694), ANTEO-CONSULTING (453664997), ANTEO-E-BUSINESS (808010342)",Bretagne,Ille-et-Vilaine
SOFEDIT,443782784,2019,87/100,Entreprise,"","",Normandie,Orne
SOGECAP,86380730,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SOLOCAL SA",444212955,2019,92/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SOMFY ACTIVITES SA",303970230,2019,89/100,Entreprise,"","",Auvergne-Rhône-Alpes,Haute-Savoie
"Sopra Banking Software",450792999,2019,77/100,Entreprise,"","",Auvergne-Rhône-Alpes,Haute-Savoie
"Sopra Steria Group",326820065,2019,86/100,Entreprise,"","",Auvergne-Rhône-Alpes,Haute-Savoie
"Sopra Steria I2S",805020740,2019,94/100,Entreprise,"","",Auvergne-Rhône-Alpes,Haute-Savoie
"SOPREMA ENTREPRISES",485197552,2019,15/25,Entreprise,"","","Grand Est",Bas-Rhin
SPBI,491372702,2019,79/100,Entreprise,"","","Pays de la Loire",Vendée
"SPEEDY FRANCE",421363979,2019,81/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Spie batignolles malet",302698873,2019,77/100,Entreprise,"","",Occitanie,Haute-Garonne
"SPIE CityNetworks",434085395,2019,89/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"SPIE FACILITIES",538700022,2019,89/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"SPIE INDUSTRIE & TERTIAIRE",440055861,2019,84/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"SPIE INFOSERVICES",324103829,2019,79/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SPIE NUCLEAIRE",662049287,2019,90/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
SQLI,353861909,2019,87/100,"Unité Economique et Sociale (UES)",SQLI,"",Ile-de-France,Hauts-de-Seine
"STANLEY SECURITY FRANCE",789367174,2019,99/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"star services",343207916,2019,88/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"STARBUCKS COFFEE FRANCE",445330103,2019,84/85,Entreprise,"","",Ile-de-France,Paris
"STELIA AEROSPACE",778127613,2019,89/100,Entreprise,"","",Nouvelle-Aquitaine,Charente-Maritime
"Stem Propreté",398372615,2019,65/85,Entreprise,"","",Ile-de-France,Essonne
"STMicroelectronics S.A.",341459386,2019,88/100,"Unité Economique et Sociale (UES)",STMicroelectronics,"STMicroelectronics (Rousset) S.A.S (414969584), STMicroelectronics (Crolles 2) S.A.S (399395581), STMicroelectronics (Tours) S.A.S (380932590), STMicroelectronics (Grenoble 2) S.A.S (487678617), STMicroelectronics (Alps) SAS (504940925), STMicroelectronics (Grand Ouest) SAS (409768520)",Ile-de-France,Hauts-de-Seine
STOKOMANI,317780062,2019,79/100,Entreprise,"","",Hauts-de-France,Oise
"SUEZ Eau France",410034607,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SUEZ RV ENERGIE",622012748,2019,83/100,"Unité Economique et Sociale (UES)","SUEZ RV ENERGIE","AMETYST (501717615), ARCANTE (408974277), ASTRIA EXPLOITATION (399730761), CO SYNERGIE 53 (828554568), CORREZE INC. EXPL. (408588135), ECONOTRE (410872188), ESIANE (443118427), EVNA (838671170), OREADE SAS (803806793), SET FAUCIGNY (401471271), SET MONT BLANC (401405832), SIRAC (300221728), SOGAD (322323783), SUEZ RV CENTRE EST ENERGIE (410348833), VERNEA (48911824), SUEZ RV ENERGIE RAMBERVILLERS (841022452), VALO'MARNE (833921232), VALOEURE (853157865), NEOVALY (850742842), HELYSEO (844053660)",Ile-de-France,Hauts-de-Seine
"SUPERMARCHES MATCH",785480351,2019,85/100,Entreprise,"","",Hauts-de-France,Nord
